"","match_id","league","match_date","home_team","home_score","away_team","away_score","avg_odds_home_win","avg_odds_draw","avg_odds_away_win","max_odds_home_win","max_odds_draw","max_odds_away_win","top_bookie_home_win","top_bookie_draw","top_bookie_away_win","n_odds_home_win","n_odds_draw","n_odds_away_win"
"206008",522196,"USA: MLS","2011-05-29","Chicago Fire",2,"San Jose Earthquakes",2,1.8575,3.3061,3.995,1.95,3.66,4.5,"BetVictor","Pinnacle Sports","bet365",28,28,28
"206009",522197,"USA: MLS","2011-05-29","Houston Dynamo",2,"FC Dallas",2,2.235,3.1743,3.0429,2.45,3.46,3.3,"SBOBET","Pinnacle Sports","Unibet",28,28,28
"206010",522198,"USA: MLS","2011-05-29","Colorado Rapids",1,"Sporting Kansas City",1,2,3.2315,3.5833,2.27,3.4,4.2,"188BET","William Hill","Interwetten",27,27,27
"206011",522199,"USA: MLS","2011-05-29","Real Salt Lake",1,"Seattle Sounders",2,1.77,3.3352,4.3881,1.93,3.5,5,"188BET","Betway","Betway",27,27,27
"206012",522200,"USA: MLS","2011-05-29","Portland Timbers",2,"DC United",3,1.8346,3.2771,4.1136,1.91,3.53,4.87,"Betway","Pinnacle Sports","Pinnacle Sports",28,28,28
"206254",522513,"USA: MLS","2011-06-02","Chivas USA",1,"Vancouver Whitecaps",1,1.6256,3.5652,5.0244,1.73,3.93,5.5,"Pinnacle Sports","Pinnacle Sports","DOXXbet",25,25,25
"206493",522842,"USA: MLS","2011-06-04","Los Angeles Galaxy",0,"DC United",0,1.5061,3.7639,6.0007,1.61,4.08,7,"Pinnacle Sports","Pinnacle Sports","Sportingbet",28,28,28
"206718",523168,"USA: MLS","2011-06-05","Toronto FC",0,"Sporting Kansas City",0,2.8752,3.1063,2.3596,3.47,3.46,2.75,"Pinnacle Sports","Pinnacle Sports","Betway",27,27,27
"206719",523169,"USA: MLS","2011-06-05","New York Red Bulls",1,"Columbus Crew",1,1.8261,3.3136,4.0664,1.9,3.85,4.61,"DOXXbet","Pinnacle Sports","Pinnacle Sports",28,28,28
"206720",523170,"USA: MLS","2011-06-05","Chicago Fire",0,"Seattle Sounders",0,2.2033,3.1537,3.1393,2.68,3.35,3.55,"Pinnacle Sports","Expekt","bwin",27,27,27
"206721",523171,"USA: MLS","2011-06-05","FC Dallas",1,"New England Revoluti",0,1.5236,3.6539,6.0825,1.62,4.21,7.09,"Ladbrokes","Pinnacle Sports","Pinnacle Sports",28,28,28
"206722",523172,"USA: MLS","2011-06-05","Colorado Rapids",1,"Philadelphia Union",1,1.8811,3.2704,3.8643,2,3.55,4.57,"Interwetten","Pinnacle Sports","Pinnacle Sports",28,28,28
"206723",523173,"USA: MLS","2011-06-05","Real Salt Lake",2,"Vancouver Whitecaps",0,1.4811,3.7907,6.3896,1.62,4.2,7.16,"12BET","Paddy Power","DOXXbet",28,28,28
"206724",523174,"USA: MLS","2011-06-05","Chivas USA",1,"Portland Timbers",0,1.8971,3.2771,3.7936,2,3.67,4.33,"888sport","Pinnacle Sports","bet365",28,28,28
"206725",523175,"USA: MLS","2011-06-05","San Jose Earthquakes",2,"Houston Dynamo",0,2.4271,3.0779,2.7889,2.75,3.2,3.05,"Betsafe","Coral","Expekt",28,28,28
"206940",523459,"USA: MLS","2011-06-09","Columbus Crew",2,"Real Salt Lake",1,2.4679,3.1093,2.7221,2.8,3.25,3,"bet365","Pinnacle Sports","William Hill",28,28,28
"206982",523516,"USA: MLS","2011-06-10","Sporting Kansas City",0,"Chicago Fire",0,1.8119,3.3885,4.0296,1.92,3.77,4.34,"Pinnacle Sports","Pinnacle Sports","Unibet",26,26,26
